product_name,product_url,product_price,product_category
"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete",https://www.amazon.com/DB-Longboards-CoreFlex-Fiberglass-Longboard/dp/B07KMVJJK7,$237.68,Sports & Outdoors 
"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS,$99.95,Toys & Games 
"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,$34.99,Toys & Games 
Guillow Airplane Design Studio with Travel Case Building Kit,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM,$28.91,Toys & Games 
Woodstock- Collage 500 pc Puzzle,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX,$17.49,Toys & Games 
"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small",https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592,$29.12,"Clothing, Shoes & Jewelry "
"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",https://www.amazon.com/Hoffmaster-120813-Double-Tipped-Triangular-Wrapped/dp/B00BS7XCZ4,$97.68,Toys & Games 
"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,$12.99,Home & Kitchen 
"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T,$18.16,Toys & Games 
DC Cover Girls: Black Canary by Joëlle Jones Statue,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW,$84.61,Toys & Games 
"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",https://www.amazon.com/Bedding-Chevron-Window-Valance-Curtain/dp/B00LSJV9TS,$33.92,Baby Products 
